Customers_Country_2f_Region,Customers_Name,Customers_City,Customers_Postal_20_Code,Customers_State_20_Code
US,Duff Brewing Company,Irving,,TX
US,Dunder Mifflin,New York,10017,NY
US,EBU Energy,Alkexandria,22310,VA
US,EBU Ideals,Battlecreek,49017,MI
US,EBU Technology,Alexandria,22310,VA
US,Extensive Enterprise,Greensboro,27410,NC
US,FABS Constructing,Southfield,48033,MI
US,Fake Brothers,Juno Beach,33408,FL
US,Flamingo Consulting,Torrance,90505,CA
US,Flip the Page LLC,Miamisburg,45342,OH
US,Flowers By Irene,Pittsburgh,15222,PA
US,Foo Bars,St Louis,63102,MO
US,Gadgetron,Omaha,68131,NE
US,Galaxy Corp,Greensboro,27410,NC
US,GAM Neuro,South Bend,46617,IN
US,Gauge Metrics,New York,10004,NY
US,GCI,Richmond,23219,VA
US,General Services Corporation,San Jose,,CA
US,GGE,San Francisco,,CA
US,GHG,Plano,75024,TX
US,Global Computing,Reston,20190,VA
US,Globex Corporation,Reston,20190,VA
US,Globo Gym American Corp,Houston,77010,TX
US,Globo-Chem,Chicago,60601,IL
US,Gokart,San Martin,95046,CA
US,Grenteris,Billerica,1821,MA
US,Gringotts,Novi,48377,MI
US,Harton,Salisbury,,MD
US,Helix LLC,Lisle,60532,IL
US,Help me See LLC,Mason,45040,OH
US,Hooper Tires,Findlay,45840,OH
US,Horn BPO,Fremont,94555,TX
US,Hunter and Hunter,San Antonio,78204,TX
US,Identities Born LLC,Riverside,92507,CA
US,Industrial Automation,The Woodlands,77380,TX
US,Initech,Chicago,60633,IL
US,Initrode,Melville,11747,NY
US,Interstate Services,Northbrook,60062,IL
US,Jobargo,St Louis,63114,MO
US,"Jump Off It, N.A.",St. Louis,63146,MO
US,Katy,Sanford,27332,NC
US,Keedsler Motors,Ellicott City,,MD
US,Kings Group,Spokane,99224,WA
US,Kingston and Group,DALLAS,,TX
US,Klimpys,Plano,75024,TX
US,KloKlo Partners,Irving,,TX
US,KON/PLD,Chicago,60601,IL
US,Korman Partners,Chandler,85248,AZ
US,Korman Technology,Chandler,,AZ
US,Korsici,Stratford,6615,CT
US,Krustyco,Scottsdale,,AZ
US,Kumatsu Motors,Morristown,7960,NJ
US,Label Solutions,DALLAS,,TX
US,Label Solutions,Fort Pierce,34982,FL
US,Liliport LP,Akron,,OH
US,LKLLD,Overland Park,66213,KS
US,Local Services Group,Powhatan Point,,OH
US,Lovelling Inc,Fort Lee,7024,NJ
US,MAD Company,"Decatur,",62523,IL
US,Maggies Machines,St.Louis,,MO
US,Mainway Toys,Portland,97209,OR
US,Mammoth Pictures,Kansas City,64101,MO
US,Mary Begs Co,Reston,20190,VA
US,Mauve Ware,Palo Alto,94304,CA
US,McLittle Consulting Co,Pittsburgh,15222,PA
US,McMahon and Tate,New York City,10018,NY
US,MECM,Scarsdale,10583,NY
US,Megadodo Publications,Irving,75038,TX
US,Metratrack,Reston,20190,VA
US,Mexerbio,Durham,27712,NC
US,MG Kelso,Atlanta,,GA
US,Millenium Hooks,Monroe,71203,LA
US,Milliways,Miami Beach,33139,FL
US,Minuteman Cafe,Miami Beach,33139,FL
US,Mits Power,Orlando,32809,FL
US,MOKATO,Joplin,64801,MO
US,Momentum,Columbus,43215,OH
US,Monks Diner,Evansville,47721,IN
US,Mooby Corp,Menomonee Falls,53051,WI
US,Musion and Phillips,Pittsburgh,15222,PA
US,National UNTC,New York,11203,NY
US,Nerve Company,Newport Beach,92660,CA
US,Nevali Group,DALLAS,75254,TX
US,Neward and Benson,Richmond,23219,VA
US,Neworth Boards,Greenwood Village,80111,CO
US,Niagular,Bethesda,20817,MD
US,Nice Guys Services,Schaumberg,60173,IL
US,Niger National,Southlake,76092,TX
US,Noca Gas,Irving,75063,TX
US,Numivia,Irving,75039,TX
US,NYT Troupe,New York,,NY
US,NYT Troupe,New York,10018,NY
US,ONESYNE Labs LP,Alexandria,22314,VA
US,ONJI LTD,St Louis,63146,MO
US,Opal Enterprises,Burlington,1803,MA
US,Opazel,Lewisville,,TX
US,Osato Chemicals,Pittsburgh,15222,PA
US,Pac Underwater Drilling,Omaha,68179,NE
US,PacWaters Drifting,Houston,77056,TX
US,Parrots and Peacocks,Canonsburg,15317,PA
US,Pavel School District,Jacksonville,32207,FL
US,PDP,Falls Church,22042,VA
US,Perception LP,AAAAAAA,11111,TX
US,Petrox Oil Company,Uxbridge,1569,MA
US,Pheonix Rails,Fort Worth,,TX
US,Pheonix Rails,Forth Worth,76131,TX
US,Philly Medical,Natick,,MA
US,Philo Projects,"Lakewood Ranch, Sarasota",34240,FL
US,PILA,DALLAS,,TX
US,Pittsburgh Partners,Harrisburg,,PA
US,Pleggios,Henderson,89074,NV
US,Pompusili,Center Valley,18034,PA
US,PonDeMon,Wilmington,19805,DE
US,Ports of the NorthEast,Jersey City,7302,NJ
US,Postal Wash,Washington DC,20071,VA
US,Potts,Columbus,,OH
US,Powell Motors,DALLAS,75201,TX
US,PPB Bracks,Philadelphia,19103,PA
US,Present Networks,Ridgeland,39157,MS
US,Processes Inc,Foster City,94404,CA
US,ProStaffing,Plano,75024,TX
US,Protecting the Border,Washington,20229,DC
US,PTC,Skillman,8558,NJ
US,QWERTY Logistics,AAAAAAA,11111,TX
US,Raleigh Resources,Raleigh,27612,NC
US,"Red, White and Blue",St. Louis,,MO
US,Resource Development,Alpharetta,30005,GA
US,REY REY LP,Winston-Salem,27101,NC
US,Rimmion Runners,Richmond,23220,VA
US,Rivisult,Temple,85281,AZ
US,Roboto Industries,Skillman,,NJ
US,Rouster and Sideways,Mason,45040,OH
US,Roxxon,Denver,80203,CO
US,Sacramento Sourcing,California,,CA
US,Sallbet Consultants,Naperville,60563,IL
US,Sample Company,Valhalla,10595,NY
US,"Sample, inc",Plano,75024,TX
US,Scarcoft,New Orleans,70129,LA
US,SCCA County,San Jose,95110,CA
US,Scoila Inc,Friedens,15541,PA
US,Scornette Group,Greenville,29615,SC
US,Scunder Consulting,Santa Clara,95051,CA
US,SDI Design,Denver,80222,CO
US,SeaShell Oil Cleanup,Houston,77002,TX
US,Seashore Systems,Arlington,22203,VA
US,Selement,Tarrytown,10591,NY
US,Sharper Bends,Alexandria,22302,VA
US,Simbici LLC,Pittsfield,1201,MA
US,Sips,Chicago,11111,IL
US,Sips,Plano,75024,TX
US,Sixty Second Avenue,Columbus,43230,OH
US,"Skirpa, Skirpa and Skirpa",Overland Park,66213,KS
US,Smith and Co.,Juno Beach,33408,FL
US,Snapper Turtles,Plano,75024,TX
US,SNC Directly to America,Westchester,60154,IL
US,SNC Downers Grove,Downers Grove,60515,IL
US,SNC Downers Grove,Downers Grove,60515,NE
US,SNC Path,Newton Square,19073,PA
US,SNC Public,North Tower,20004,DC
US,SNC Sydney,Canberra ACT,75012,TX
US,SNC Sydney,Irving,75038,TX
US,Solely Shoes,Newport News,,VA
US,Soneli Graphics,Fremont,94538,CA
US,Sonky Rubber Goods,Battle Creek,49017,MI
US,SONO Shoes,Sanata Monica,90404,CA
US,Sourced Out,Chestbrook,19087,PA
US,Spade and Archer,Irving,75038,TX
US,SpringShield,Iselin,8830,NJ
US,"Spurly, Spurly and Spurly",Washington,20004,DC
US,Square and Circle Pharma,San Diego,92127,CA
US,St. Anky Beer,Latrobe,15650,PA
US,Stilts and Shots,Tucson,85706,AZ
US,Straza Astena,Wilmington,19850,DE
US,Strong Land Co.,St. Louis,63105,MO
US,Sunny Waters,West Palm Beach,33406,FL
US,Sweno of Illinois,Perrysburg,,OH
US,Swirva,Reston,20190,VA
US,Taggart Transcontinental,Corte Madera,94925,CA
US,Teckman,Mt. View,94035,CA
US,Tessier-Ashpool,DALLAS,75254,TX
US,Tetris Group,Denton,76207,TX
US,Thatherton Fuels,Pittsburgh,15222,PA
US,The Frying Dutchman,Oklahoma City,73102,OK
US,The Krusty Krab,Sacramento,95816,CA
US,The Legitimate Businessmens Club,Pittsburgh,15222,PA
US,The New Firm,Orlando,32801,FL
US,Therapy Group,Silver Spring,20910,MD
US,Tip Top Cafe,Atchison,66002,KS
US,Transworld Consortium,Hershey,17033,PA
US,Trees and Bushes LTD,St. Louis,63124,MO
US,TRP Corp,Palm Beach Gardens,33410,FL
US,True Chems LLC,Middlebury,6749,CT
US,Truliant,Richmond,23230,VA
US,Turning and Lender,Woodcliff Lake,7677,NJ
US,Ugen LLC,New York,10105,NY
US,ULA Associates,Denver,,CO
US,ULTRA Undertakings,Bolingbrook,60440,IL
US,Uncle Joey's Café,Monrovia,91016,CA
US,Under the Bridge,AAAAAAA,11111,TX
US,Universal Export,Hershey,17033,PA
US,Valinik,San Diego,92121,CA
US,Vandelay Industries,Omaha,68131,NE
US,Vanerva,Lynchburgh,,VA
US,Venkman Co,Powhatan Point,43942,OH
US,Venting Systems,DALLAS,75211,TX
US,Vertigo Systems,Indianapolis,46204,IN
US,Videlectrix,California,,CA
US,Water and Power,Houston,77072,TX
US,Wayne Enterprises,Florham Park,7005,NJ
US,Wentworth Industries,Lehigh Valley,18002,PA
US,Wernham Hogg,Omaha,68131,NE
US,Western Landscaping,Hershey,17033,PA
US,Whipple LP,Benton Harbor,49022,MI
US,Widget Corp,Perrysburg,43551,OH
US,WOLK Works,Reston,20190,VA
US,WOWKOW,Saginaw,48603,MI
US,XIXI,Richmond,23220,VA
US,ZiffCorp,Troy,48098,MI
US,Ziffer,Great Valley,,PA
US,Ziffer Chemicals,Frazer,19355,PA

